Filename,SFM_Coarseness,SFM_Contrast,SFM_Periodicity,SFM_Roughness
ROI_08_3.png,4.36815074344505,28.133514888899313,0.6983895915240322,2.4742047496902586
ROI_08_4.png,4.3902763022978135,27.563922376440665,0.6913449927683482,2.4837961793598544
ROI_08_5.png,4.2234464144186035,30.01320215416764,0.6475433408919713,2.5098773923610214
ROI_08_6.png,4.88026978506395,26.566101803617563,0.6360454887805483,2.512477168223008
ROI_08_7.png,5.2671552812037215,24.560981628145786,0.6117911477927628,2.516615698153284
ROI_08_8.png,5.624597907398128,23.081971543758016,0.6203396412506264,2.5415006932821607
ROI_08_9.png,5.6382434652138524,22.032007785015796,0.6799028974510866,2.4785216637967604
ROI_09_0.png,8.029695076122009,15.974248395370035,0.619439187066863,2.5162056007938154
ROI_09_1.png,9.285520429239764,14.526384564662955,0.5960307315903495,2.5384244734973898
ROI_09_2.png,8.168293257953536,15.172554916444817,0.6252957537224489,2.5326196812624726
ROI_09_3.png,7.414186306421821,17.75077176066318,0.6601831276223331,2.4980763160944846
ROI_09_4.png,9.195069140167513,14.146020159089547,0.5890193303620895,2.5517936415400473
ROI_09_5.png,7.870244604231649,17.071423344376985,0.6381353142287142,2.5501604452226685
ROI_09_6.png,10.038299102902045,12.756872708205442,0.6372403022602066,2.4900730438707783
ROI_09_7.png,9.689856179857074,13.653595109568387,0.5689552072373103,2.560189760100633
ROI_09_8.png,8.724150320710423,15.103003031460107,0.6097212118433512,2.5324431548509634
ROI_09_9.png,9.166098422175729,13.345888966365901,0.6212315943005691,2.514669708829477
ROI_10_0.png,6.889532205694123,18.697560413917607,0.592278213118049,2.5199116120919864
ROI_10_1.png,7.233590019648389,18.036304348296678,0.5770837581105043,2.5815407875767087
ROI_10_2.png,6.1287134068225555,20.96530335431351,0.5884196036185434,2.5476949010398067
ROI_10_3.png,7.880990383909767,16.877224488854438,0.5621672008939018,2.589550755071614
ROI_10_4.png,7.160834790670775,17.856078941459383,0.6017969648150802,2.5134677369876477
ROI_10_5.png,7.041250703097204,18.292936895710024,0.5571276839520211,2.540439751906467
ROI_10_6.png,6.68242070281313,18.94782924759876,0.6161143768211982,2.5304809696471025
ROI_10_7.png,6.872613563137902,18.689321438769834,0.6017338621678949,2.5210122819744694
ROI_10_8.png,6.6721538622815295,19.35777484609131,0.5820195675692418,2.5348010883528285
ROI_10_9.png,6.365080715867905,20.115475960410546,0.5743983727683563,2.539863030350551
ROI_11_0.png,6.22957947183997,20.5162190945058,0.5893092051898094,2.5506165833375696
ROI_11_1.png,6.341512568396008,19.9997709667466,0.5932540417440181,2.527114733504841
ROI_11_2.png,5.830741798162009,20.314665899238598,0.5946246178420699,2.4937362517346453
ROI_11_3.png,6.340087161223926,20.662401064597073,0.5859654720243053,2.564694021117722
ROI_11_4.png,9.739309071809744,12.772857729256227,0.5639211480413229,2.587300195021444
ROI_11_5.png,8.088792212133814,16.104222209007304,0.5473058220960559,2.5679692170785775
ROI_11_6.png,7.738531948205819,15.391892244126169,0.5743807428486799,2.5050424536603977
ROI_11_7.png,7.220045093385455,17.30977701660225,0.5432079936288011,2.524191549196111
ROI_11_8.png,6.633693116723496,19.396729690154924,0.5700384091012548,2.5539661389372506
ROI_11_9.png,7.661703195524808,16.205148839563446,0.5234744917280735,2.5668402157239383
ROI_12_0.png,8.784655084711398,14.873889329097835,0.6036447289159976,2.53180361206764
ROI_12_1.png,8.34821007021927,15.666914485137681,0.632722927334004,2.5379840105246307
ROI_12_2.png,8.235495773289102,16.162072748630973,0.6254810255480432,2.5972512401147663
